"Article" "Mean" "Maximum" "Total(Year)"
"1881–1896 cholera pandemic" 33 941 95805
"European Parliament Committee on the Environment, Public Health and Food Safety" 33 984 96672
"Idiopathic interstitial pneumonia" 33 910 94992
"List of diseases (L)" 33 516 95581
"Mental health in Russia" 33 533 96581
"Public health laboratory" 33 1402 96197
"Seventh cholera pandemic" 33 292 95758
"Skin and skin structure infection" 33 141 95967
"Autoimmune inner ear disease" 32 2006 94588
"Healthy building" 32 586 93555
"Inflammatory demyelinating diseases of the central nervous system" 32 412 92686
"Mental Health Act (Ontario)" 32 122 92362
"Mental health in India" 32 200 94579
"Public health journal" 32 792 93244
"1919–1930 encephalitis lethargica epidemic" 31 3223 91357
"Diabetic foot infection" 31 144 90046
"Multimorbidity" 31 887 90560
"Prevention of mental disorders" 31 694 91756
"Preventive nutrition" 31 923 91801
"Public Health Agency of Sweden" 31 444 91424
"Salt and cardiovascular disease" 31 225 89744
"1863–1875 cholera pandemic" 30 2591 89062
"Case management (mental health)" 30 489 88915
"List of diseases (J)" 30 504 86241
"Nutrition psychology" 30 195 86251
"Workplace health promotion" 30 217 86350
"2023 Chinese pneumonia outbreak" 29 11681 85362
"Bone health" 29 272 84831
"Nutrition analysis" 29 150 83314
"1862 Pacific Northwest smallpox epidemic" 28 1619 82110
"Epstein–Barr virus–associated lymphoproliferative diseases" 28 1099 81777
"Febrile infection-related epilepsy syndrome" 28 517 82027
"Healthy Life Years" 28 333 82615
"Korea Disease Control and Prevention Agency" 28 352 81377
"List of sexually transmitted infections by prevalence" 28 504 81859
"NINCDS-ADRDA Alzheimer's Criteria" 28 153 80534
"Notifiable diseases in the United Kingdom" 28 1301 81437
"Ecological health" 27 850 78044
"First Nations nutrition experiments" 27 2108 77974
"International Association of National Public Health Institutes" 27 792 79309
"Letterer–Siwe disease" 27 118 77751
"List of diseases (F)" 27 509 78247
"List of diseases (V)" 27 512 77704
"List of diseases (Z)" 27 582 78000
"List of mental disorders in the DSM-IV and DSM-IV-TR" 27 540 79287
"Mental health court" 27 199 79919
"Multifactorial disease" 27 426 78209
"National Hotel disease" 27 1714 79085
"1847 North American typhus epidemic" 26 257 76072
"Disseminated disease" 26 196 76047
"Drugs for Neglected Diseases Initiative" 26 327 76031
"Health security" 26 318 76596
"Healthcare rationing in the United States" 26 397 76389
"Human health" 26 322 74720
"Loneliness epidemic" 26 1235 74552
"Molecular epidemiology" 26 165 75656
"Mosquito-malaria theory" 26 1492 75006
"Pandemic Severity Assessment Framework" 26 382 76392
"Pregnancy-associated malaria" 26 1171 76884
"Serious mental illness" 26 977 76996
"Bulletin of the World Health Organization" 25 1174 72502
"Caribbean Public Health Agency" 25 362 72300
"Epidemiology of asthma" 25 999 74039
"Establishment of the World Health Organization" 25 1692 72677
"Health Advocate" 25 1099 71769
"Health and Social Care Select Committee" 25 1589 72537
"Health insurance cooperative" 25 223 71590
"Milk borne diseases" 25 563 73043
"1557 influenza pandemic" 24 497 69980
"American Journal of Epidemiology" 24 482 70072
"Brazilian Health Regulatory Agency" 24 725 69075
"Global Alliance for Improved Nutrition" 24 965 69079
"Healthcare engineering" 24 143 70282
"Influx of disease in the Caribbean" 24 940 70218
"Localized disease" 24 202 68957
"Malnutrition in South Africa" 24 1198 71207
"Mental illness in media" 24 495 71196
"1510 influenza pandemic" 23 413 65797
"Alzheimer's disease in the media" 23 141 68272
"Autoinflammatory diseases" 23 444 66189
"Brill–Zinsser disease" 23 1611 65893
"Desquamative interstitial pneumonia" 23 179 67739
"Effects of climate change on mental health" 23 357 67550
"Epidemiology of attention deficit hyperactive disorder" 23 462 67117
"Health care efficiency" 23 440 68304
"Healthcare real estate" 23 203 68171
"List of diseases (E)" 23 500 65962
"Psychiatric epidemiology" 23 204 68390
"Services for mental disorders" 23 877 65857
